sentence,category,type
What is your favorite book and why?,normal english,non math
"If you could have dinner with any historical figure, who would it be?",normal english,non math
What's the most adventurous thing you've ever done?,normal english,non math
"If you could visit any fictional world, where would you go?",normal english,non math
What's the last movie or TV show that made you cry?,normal english,non math
"If you could master any skill instantly, what would it be?",normal english,non math
What's your go-to comfort food?,normal english,non math
"If you could time travel, would you go to the past or the future, and why?",normal english,non math
What's the most interesting place you've ever visited?,normal english,non math
"If you had to listen to one song for the rest of your life, what would it be?",normal english,non math
What's your favorite way to relax and unwind?,normal english,non math
"If you could be any animal for a day, which one would you choose?",normal english,non math
What's the weirdest food combination you enjoy?,normal english,non math
"If you were a superhero, what would your superpower be?",normal english,non math
"What's your dream job, and why?",normal english,non math
"If you could eliminate one thing from your daily routine, what would it be?",normal english,non math
What's your favorite board game or card game?,normal english,non math
"If you could have any mythical creature as a pet, what would it be?",normal english,non math
What's the most embarrassing thing that has ever happened to you?,normal english,non math
"If you could meet any living person, who would it be?",normal english,non math
What's your favorite type of weather?,normal english,non math
"If you were stranded on a deserted island, what three things would you want with you?",normal english,non math
What's the best piece of advice you've ever received?,normal english,non math
"If you could have dinner with any fictional character, who would it be?",normal english,non math
What's the last thing you binge-watched on TV?,normal english,non math
"If you could witness any historical event, what would it be?",normal english,non math
What's your favorite holiday and how do you celebrate it?,normal english,non math
"If you could trade lives with someone for a day, who would it be?",normal english,non math
What's the most challenging thing you've ever accomplished?,normal english,non math
"If you could have any talent in the world, what would it be?",normal english,non math
What's your favorite childhood memory?,normal english,non math
"If you could have any technology from a sci-fi movie, what would it be?",normal english,non math
What's the most beautiful place you've ever been to?,normal english,non math
"If you could have a conversation with any fictional character, who would it be?",normal english,non math
What's the most unusual job you can think of?,normal english,non math
"If you could instantly learn any language, which one would it be?",normal english,non math
What's your favorite way to exercise?,normal english,non math
"If you could invent a new flavor of ice cream, what would it be?",normal english,non math
What's the most inspiring movie you've ever watched?,normal english,non math
"If you could choose a different era to live in, when would it be?",normal english,non math
What's your favorite museum or art gallery?,normal english,non math
"If you could have any pet in the world, exotic or not, what would it be?",normal english,non math
What's the most interesting fact you know?,normal english,non math
"If you could have a conversation with any historical figure, who would it be?",normal english,non math
What's your favorite quote and why?,normal english,non math
"If you could visit any country in the world, where would you go?",normal english,non math
What's your favorite type of cuisine?,normal english,non math
"If you could have any fictional technology, like a time machine or teleporter, what would it be?",normal english,non math
What's your favorite outdoor activity?,normal english,non math
"If you could have dinner with any celebrity, who would it be?",normal english,non math
What's your favorite board game from childhood?,normal english,non math
"If you could have any animal as a sidekick, what would it be?",normal english,non math
What's the most unusual piece of trivia you know?,normal english,non math
"If you were a character in a video game, what would your special ability be?",normal english,non math
What's your favorite type of music to listen to when you need motivation?,normal english,non math
"If you could have any historical artifact, what would it be?",normal english,non math
What's your favorite way to spend a lazy Sunday?,normal english,non math
"If you could meet any fictional character in real life, who would it be?",normal english,non math
What's the most beautiful natural scenery you've ever seen?,normal english,non math
"If you could have any job for a day, what would it be?",normal english,non math
What's the most challenging book you've ever read?,normal english,non math
"If you could have any vehicle (real or fictional), what would it be?",normal english,non math
What's your favorite season and why?,normal english,non math
"If you could have any talent in the world instantly, what would it be?",normal english,non math
What's the most surprising fact about you that not many people know?,normal english,non math
"If you could have dinner with any musician, dead or alive, who would it be?",normal english,non math
What's your favorite type of cuisine you've never tried?,normal english,non math
"If you could be proficient in any sport, what would it be?",normal english,non math
What's the most valuable lesson you've learned from a mistake?,normal english,non math
"If you could have any fictional technology in your home, what would it be?",normal english,non math
What's your favorite childhood cartoon character?,normal english,non math
"If you could witness any natural phenomenon, what would it be?",normal english,non math
What's the most impressive skill you've seen someone else demonstrate?,normal english,non math
"If you could have a conversation with any animated character, who would it be?",normal english,non math
What's your favorite quote from a movie or TV show?,normal english,non math
"If you could visit any historical period for a day, when and where would you go?",normal english,non math
What's your favorite dessert of all time?,normal english,non math
"If you could have any job in the entertainment industry, what would it be?",normal english,non math
What's the most interesting documentary you've ever watched?,normal english,non math
"If you could have any fictional creature as a friend, what would it be?",normal english,non math
What's your favorite app on your phone?,normal english,non math
"If you could have any historical figure as a mentor, who would it be?",normal english,non math
What's the most bizarre food you've ever tried?,normal english,non math
"If you could have any view from your window, what would it be?",normal english,non math
What's your favorite genre of fiction to read?,normal english,non math
"If you could attend any event in history, what would it be?",normal english,non math
"What's the most fascinating animal in the world, in your opinion?",normal english,non math
"If you could have any plant as a pet, which one would you choose?",normal english,non math
What's your favorite type of workout?,normal english,non math
"If you could be a character in any TV show, which one would it be?",normal english,non math
What's the most memorable concert or live performance you've attended?,normal english,non math
"If you could have any superpower that's not commonly mentioned, what would it be?",normal english,non math
What's your favorite way to express your creativity?,normal english,non math
"If you could have any job in the world for a week, what would it be?",normal english,non math
What's the most beautiful piece of art you've ever seen?,normal english,non math
"If you could have any movie prop as a souvenir, what would it be?",normal english,non math
What's your favorite way to spend a rainy day?,normal english,non math
"If you could have any historical document, what would it be?",normal english,non math
What's the most interesting museum exhibit you've visited?,normal english,non math
"If you could have any fictional character's wardrobe, whose would it be?",normal english,non math
"If you could have any animal's ability or trait, what would it be?",normal english,non math
What's your favorite type of puzzle or brain teaser?,normal english,non math
"If you could live in any fictional universe, which one would you choose?",normal english,non math
What's your most unusual talent or skill?,normal english,non math
"If you could have a dinner party with three historical figures, who would they be?",normal english,non math
What's the most interesting historical event you'd like to witness as an observer?,normal english,non math
